"Listing Url","Lat","Long","Property Type","Address","City","Google Map Address"
"https://www.airbnb.com/rooms/13617410","49.21122300492","-123.12814375465","House","Marpole, Vancouver","Vancouver","8238 Shaughnessy St, Vancouver, BC V6P 3X8, Canada"
"https://www.airbnb.com/rooms/9663257","49.20798217363","-122.85229191641","House","Surrey","Surrey","11275 133a St, Surrey, BC V3R 2Y8, Canada"
"https://www.airbnb.com/rooms/17222280","49.288785204003","-122.87435484447","House","Port Moody","Port Moody","8 Shoreline Cir, Port Moody, BC V3H 4V9, Canada"
"https://www.airbnb.com/rooms/14843624","49.210658867781","-123.06237482744","House","Fraserview, Vancouver","Vancouver","2177 Bonaccord Dr, Vancouver, BC V5P 2N8, Canada"
"https://www.airbnb.com/rooms/9132977","49.22408149803","-122.9077513539","House","New Westminster","New Westminster","721 Cumberland St, New Westminster, BC V3L 3H1, Canada"
"https://www.airbnb.com/rooms/17286517","49.287995329793","-122.873146734","House","Port Moody","Port Moody","830 Washington Dr, Port Moody, BC V3H 3K8, Canada"
"https://www.airbnb.com/rooms/13660971","49.325839479434","-123.11681199878","House","North Vancouver","North Vancouver","1619 Hope Rd, North Vancouver, BC V7P 1X2, Canada"
"https://www.airbnb.com/rooms/15447937","49.24749857625","-123.07190224392","House","Vancouver","Vancouver","1594 E 26th Ave, Vancouver, BC V5N 2W2, Canada"
"https://www.airbnb.com/rooms/18191950","49.23574193592","-123.01696630209","House","Burnaby","Burnaby","3955 Bond St, Burnaby, BC V5H 1E7, Canada"
"https://www.airbnb.com/rooms/14918665","49.327308518558","-123.11680203818","House","North Vancouver","North Vancouver","1902 Tatlow Ave, North Vancouver, BC V7P 3A3, Canada"
"https://www.airbnb.com/rooms/17641929","49.257010480039","-122.98577068525","House","Burnaby","Burnaby","5416 Manor St, Burnaby, BC V5G 1B7, Canada"
"https://www.airbnb.com/rooms/17074114","49.23541265188","-123.063822256","House","Vancouver","Vancouver","2112 E 38th Ave, Vancouver, BC V5P 1G8, Canada"
"https://www.airbnb.com/rooms/9117377","49.22029935567","-122.95329056155","House","Burnaby","Burnaby","7227 Balmoral St, Burnaby, BC V5E, Canada"
"https://www.airbnb.com/rooms/16984311","49.237612223503","-123.03013628082","House","Vancouver","Vancouver","3488 Vanness Ave, Vancouver, BC V5R, Canada"
"https://www.airbnb.com/rooms/16692958","49.261724601056","-123.16593254145","House","Kitsilano, Vancouver","Vancouver","2678 W 11th Ave, Vancouver, BC V6K 2L6, Canada"
"https://www.airbnb.com/rooms/17334215","49.156071778029","-123.16468272184","House","Richmond","Richmond","5331 Blundell Rd, Richmond, BC V7C 1H3, Canada"
"https://www.airbnb.com/rooms/6118842","49.270861444824","-122.94902485604","House","Burnaby","Burnaby","1550-1558 Maplehurst Cir, Burnaby, BC V5A 3R5, Canada"
"https://www.airbnb.com/rooms/2579319","49.206464640893","-122.84366425308","House","Surrey","Surrey","13671 112 Ave, Surrey, BC V3R 2G3, Canada"
"https://www.airbnb.com/rooms/17108080","49.261895033676","-123.06233704258","House","Vancouver","Vancouver","2545 Lakewood Dr, Vancouver, BC V5N 1W7, Canada"
"https://www.airbnb.com/rooms/12205372","49.234255229854","-123.05069752946","House","Vancouver","Vancouver","5571 Rhodes St, Vancouver, BC V5R 3P1, Canada"
"https://www.airbnb.com/rooms/15246613","49.260833040597","-123.05713528019","House","Vancouver","Vancouver","2651 Nanaimo St, Vancouver, BC V5N 5E8, Canada"
"https://www.airbnb.com/rooms/18095430","49.243933177047","-123.12805313041","House","Shaughnessy, Vancouver","Vancouver","4669 Oak St, Vancouver, BC V6H 2E8, Canada"
"https://www.airbnb.com/rooms/16829539","49.331384028619","-123.08146630164","House","North Vancouver","North Vancouver","2413 Jones Ave, North Vancouver, BC V7M 2X1, Canada"
"https://www.airbnb.com/rooms/18482766","49.260351607407","-123.1727752321","House","Kitsilano, Vancouver","Vancouver","3016 W 13th Ave, Vancouver, BC V6K 2V2, Canada"
"https://www.airbnb.com/rooms/1484573","49.243980363652","-123.04995971946","House","Vancouver","Vancouver","4536 Slocan St, Vancouver, BC V5R 1Z9, Canada"
"https://www.airbnb.com/rooms/13860993","49.32584541479","-123.11887776487","House","North Vancouver","North Vancouver","1798 Garden Ave, North Vancouver, BC V7P 3A7, Canada"
"https://www.airbnb.com/rooms/6663683","49.26431396489","-123.03880922881","House","Vancouver","Vancouver","2222 Lillooet St, Vancouver, BC V5M 3N7, Canada"
"https://www.airbnb.com/rooms/8313207","49.256599937054","-123.03104690763","House","Vancouver","Vancouver","3257 Matapan Cres, Vancouver, BC V5M 4A9, Canada"
"https://www.airbnb.com/rooms/17100965","49.246445517382","-123.03191373107","House","Vancouver","Vancouver","3363 E 27th Ave, Vancouver, BC V5R 1P8, Canada"
"https://www.airbnb.com/rooms/17813079","49.171385051386","-122.8898161949","House","New Westminster, Delta","Delta","12001-12039 92a Ave, Surrey, BC V3V 4B8, Canada"
